feature	gene_set
ZRANB2	WHITFIELD_CELL_CYCLE_G1S
ADGRG6	WHITFIELD_CELL_CYCLE_G2
ALKBH1	WHITFIELD_CELL_CYCLE_G2
ANLN	WHITFIELD_CELL_CYCLE_G2
AP3D1	WHITFIELD_CELL_CYCLE_G2
ARHGAP11B	WHITFIELD_CELL_CYCLE_G2
ARHGAP19	WHITFIELD_CELL_CYCLE_G2
ARHGEF39	WHITFIELD_CELL_CYCLE_G2
ARMC1	WHITFIELD_CELL_CYCLE_G2
ASXL1	WHITFIELD_CELL_CYCLE_G2
ATL2	WHITFIELD_CELL_CYCLE_G2
AURKB	WHITFIELD_CELL_CYCLE_G2
BCLAF1	WHITFIELD_CELL_CYCLE_G2
BORA	WHITFIELD_CELL_CYCLE_G2
BRD8	WHITFIELD_CELL_CYCLE_G2
BTNL9	WHITFIELD_CELL_CYCLE_G2
BUB3	WHITFIELD_CELL_CYCLE_G2
C2orf69	WHITFIELD_CELL_CYCLE_G2
CASP3	WHITFIELD_CELL_CYCLE_G2
CBX5	WHITFIELD_CELL_CYCLE_G2
CCN4	WHITFIELD_CELL_CYCLE_G2
CCNA2	WHITFIELD_CELL_CYCLE_G2
CCNF	WHITFIELD_CELL_CYCLE_G2
CDC16	WHITFIELD_CELL_CYCLE_G2
CDC25C	WHITFIELD_CELL_CYCLE_G2
CDCA2	WHITFIELD_CELL_CYCLE_G2
CDCA3	WHITFIELD_CELL_CYCLE_G2
CDCA8	WHITFIELD_CELL_CYCLE_G2
CDK1	WHITFIELD_CELL_CYCLE_G2
CDKL5	WHITFIELD_CELL_CYCLE_G2
CDKN1B	WHITFIELD_CELL_CYCLE_G2
CDKN2C	WHITFIELD_CELL_CYCLE_G2
CDR2	WHITFIELD_CELL_CYCLE_G2
CENPL	WHITFIELD_CELL_CYCLE_G2
CEP350	WHITFIELD_CELL_CYCLE_G2
CFAP90	WHITFIELD_CELL_CYCLE_G2
CFD	WHITFIELD_CELL_CYCLE_G2
CFLAR	WHITFIELD_CELL_CYCLE_G2
CHEK2	WHITFIELD_CELL_CYCLE_G2
CIP2A	WHITFIELD_CELL_CYCLE_G2
CKAP2	WHITFIELD_CELL_CYCLE_G2
CKAP2L	WHITFIELD_CELL_CYCLE_G2
CXCL14	WHITFIELD_CELL_CYCLE_G2
CYB5R2	WHITFIELD_CELL_CYCLE_G2
CYTH2	WHITFIELD_CELL_CYCLE_G2
DCAF7	WHITFIELD_CELL_CYCLE_G2
DET1	WHITFIELD_CELL_CYCLE_G2
DHX8	WHITFIELD_CELL_CYCLE_G2
DNAJB1	WHITFIELD_CELL_CYCLE_G2
EBI3	WHITFIELD_CELL_CYCLE_G2
ENTPD5	WHITFIELD_CELL_CYCLE_G2
ESPL1	WHITFIELD_CELL_CYCLE_G2
FADD	WHITFIELD_CELL_CYCLE_G2
FAM110A	WHITFIELD_CELL_CYCLE_G2
FAM72B	WHITFIELD_CELL_CYCLE_G2
FAM83D	WHITFIELD_CELL_CYCLE_G2
FAN1	WHITFIELD_CELL_CYCLE_G2
FANCD2	WHITFIELD_CELL_CYCLE_G2
FZR1	WHITFIELD_CELL_CYCLE_G2
G2E3	WHITFIELD_CELL_CYCLE_G2
GABPB1	WHITFIELD_CELL_CYCLE_G2
GAS1	WHITFIELD_CELL_CYCLE_G2
GAS2L3	WHITFIELD_CELL_CYCLE_G2
H2AC25	WHITFIELD_CELL_CYCLE_G2
H2AX	WHITFIELD_CELL_CYCLE_G2
HAUS8	WHITFIELD_CELL_CYCLE_G2
HCP5	WHITFIELD_CELL_CYCLE_G2
HINT3	WHITFIELD_CELL_CYCLE_G2
HIPK2	WHITFIELD_CELL_CYCLE_G2
HJURP	WHITFIELD_CELL_CYCLE_G2
HMGB2	WHITFIELD_CELL_CYCLE_G2
HP1BP3	WHITFIELD_CELL_CYCLE_G2
HSPA2	WHITFIELD_CELL_CYCLE_G2
IFNAR1	WHITFIELD_CELL_CYCLE_G2
JPT1	WHITFIELD_CELL_CYCLE_G2
KATNA1	WHITFIELD_CELL_CYCLE_G2
KATNBL1	WHITFIELD_CELL_CYCLE_G2
KBTBD2	WHITFIELD_CELL_CYCLE_G2
KDM4A	WHITFIELD_CELL_CYCLE_G2
KIF11	WHITFIELD_CELL_CYCLE_G2
KIF22	WHITFIELD_CELL_CYCLE_G2
KIF23	WHITFIELD_CELL_CYCLE_G2
KIF5B	WHITFIELD_CELL_CYCLE_G2
KIFC1	WHITFIELD_CELL_CYCLE_G2
KLF6	WHITFIELD_CELL_CYCLE_G2
KPNA2	WHITFIELD_CELL_CYCLE_G2
LBR	WHITFIELD_CELL_CYCLE_G2
LIX1L	WHITFIELD_CELL_CYCLE_G2
LMNB1	WHITFIELD_CELL_CYCLE_G2
LTBP3	WHITFIELD_CELL_CYCLE_G2
MAD2L1	WHITFIELD_CELL_CYCLE_G2
MALAT1	WHITFIELD_CELL_CYCLE_G2
MELK	WHITFIELD_CELL_CYCLE_G2
MEPCE	WHITFIELD_CELL_CYCLE_G2
MET	WHITFIELD_CELL_CYCLE_G2
MGAT2	WHITFIELD_CELL_CYCLE_G2
MID1	WHITFIELD_CELL_CYCLE_G2
MIS18BP1	WHITFIELD_CELL_CYCLE_G2
MND1	WHITFIELD_CELL_CYCLE_G2
MTCL1	WHITFIELD_CELL_CYCLE_G2
MUC1	WHITFIELD_CELL_CYCLE_G2
NCAPD3	WHITFIELD_CELL_CYCLE_G2
NCAPH	WHITFIELD_CELL_CYCLE_G2
NCOA5	WHITFIELD_CELL_CYCLE_G2
NDC80	WHITFIELD_CELL_CYCLE_G2
NEIL3	WHITFIELD_CELL_CYCLE_G2
NFIC	WHITFIELD_CELL_CYCLE_G2
NIPBL	WHITFIELD_CELL_CYCLE_G2
NLRP2	WHITFIELD_CELL_CYCLE_G2
NMB	WHITFIELD_CELL_CYCLE_G2
NNMT	WHITFIELD_CELL_CYCLE_G2
NR3C1	WHITFIELD_CELL_CYCLE_G2
NUCKS1	WHITFIELD_CELL_CYCLE_G2
NUMA1	WHITFIELD_CELL_CYCLE_G2
NUSAP1	WHITFIELD_CELL_CYCLE_G2
PCED1A	WHITFIELD_CELL_CYCLE_G2
PIF1	WHITFIELD_CELL_CYCLE_G2
PKNOX1	WHITFIELD_CELL_CYCLE_G2
POLQ	WHITFIELD_CELL_CYCLE_G2
PPP1R2	WHITFIELD_CELL_CYCLE_G2
PSRC1	WHITFIELD_CELL_CYCLE_G2
RANGAP1	WHITFIELD_CELL_CYCLE_G2
RCCD1	WHITFIELD_CELL_CYCLE_G2
RDH11	WHITFIELD_CELL_CYCLE_G2
RGS3	WHITFIELD_CELL_CYCLE_G2
RHNO1	WHITFIELD_CELL_CYCLE_G2
RIDA	WHITFIELD_CELL_CYCLE_G2
RNF141	WHITFIELD_CELL_CYCLE_G2
SAP30	WHITFIELD_CELL_CYCLE_G2
SGCD	WHITFIELD_CELL_CYCLE_G2
SKA3	WHITFIELD_CELL_CYCLE_G2
SMC4	WHITFIELD_CELL_CYCLE_G2
SORL1	WHITFIELD_CELL_CYCLE_G2
STAT1	WHITFIELD_CELL_CYCLE_G2
STAT5B	WHITFIELD_CELL_CYCLE_G2
STIL	WHITFIELD_CELL_CYCLE_G2
STK17B	WHITFIELD_CELL_CYCLE_G2
SV2B	WHITFIELD_CELL_CYCLE_G2
TEDC1	WHITFIELD_CELL_CYCLE_G2
TFAP2A	WHITFIELD_CELL_CYCLE_G2
TIMP1	WHITFIELD_CELL_CYCLE_G2
TMEM132A	WHITFIELD_CELL_CYCLE_G2
TMPO	WHITFIELD_CELL_CYCLE_G2
TNPO2	WHITFIELD_CELL_CYCLE_G2
TOP2A	WHITFIELD_CELL_CYCLE_G2
TRAIP	WHITFIELD_CELL_CYCLE_G2
TRIM59	WHITFIELD_CELL_CYCLE_G2
TRIM69	WHITFIELD_CELL_CYCLE_G2
TRMT2A	WHITFIELD_CELL_CYCLE_G2
TTC38	WHITFIELD_CELL_CYCLE_G2
TTF2	WHITFIELD_CELL_CYCLE_G2
TUBA1A	WHITFIELD_CELL_CYCLE_G2
TUBA3C	WHITFIELD_CELL_CYCLE_G2
TUBA4A	WHITFIELD_CELL_CYCLE_G2
TUBB	WHITFIELD_CELL_CYCLE_G2
TUBB2A	WHITFIELD_CELL_CYCLE_G2
TUBB4B	WHITFIELD_CELL_CYCLE_G2
TUBD1	WHITFIELD_CELL_CYCLE_G2
TYSND1	WHITFIELD_CELL_CYCLE_G2
UACA	WHITFIELD_CELL_CYCLE_G2
UBE2C	WHITFIELD_CELL_CYCLE_G2
UBXN11	WHITFIELD_CELL_CYCLE_G2
UNC5CL	WHITFIELD_CELL_CYCLE_G2
VPS25	WHITFIELD_CELL_CYCLE_G2
VTA1	WHITFIELD_CELL_CYCLE_G2
WDR62	WHITFIELD_CELL_CYCLE_G2
WSB1	WHITFIELD_CELL_CYCLE_G2
ZNF587	WHITFIELD_CELL_CYCLE_G2
ZNHIT2	WHITFIELD_CELL_CYCLE_G2
ADGRE5	WHITFIELD_CELL_CYCLE_G2M
ADH4	WHITFIELD_CELL_CYCLE_G2M
ADM5	WHITFIELD_CELL_CYCLE_G2M
AFDN	WHITFIELD_CELL_CYCLE_G2M
AHI1	WHITFIELD_CELL_CYCLE_G2M
AKIRIN2	WHITFIELD_CELL_CYCLE_G2M
ANLN	WHITFIELD_CELL_CYCLE_G2M
ANP32B	WHITFIELD_CELL_CYCLE_G2M
ANP32E	WHITFIELD_CELL_CYCLE_G2M
ARHGAP19	WHITFIELD_CELL_CYCLE_G2M
ARHGDIB	WHITFIELD_CELL_CYCLE_G2M
ARL6IP1	WHITFIELD_CELL_CYCLE_G2M
ASPHD2	WHITFIELD_CELL_CYCLE_G2M
ASXL1	WHITFIELD_CELL_CYCLE_G2M
ATF7IP	WHITFIELD_CELL_CYCLE_G2M
ATXN1L	WHITFIELD_CELL_CYCLE_G2M
AURKA	WHITFIELD_CELL_CYCLE_G2M
B4GALT1	WHITFIELD_CELL_CYCLE_G2M
BIRC2	WHITFIELD_CELL_CYCLE_G2M
BIRC5	WHITFIELD_CELL_CYCLE_G2M
BMP2	WHITFIELD_CELL_CYCLE_G2M
BUB1	WHITFIELD_CELL_CYCLE_G2M
BUB1B	WHITFIELD_CELL_CYCLE_G2M
C6	WHITFIELD_CELL_CYCLE_G2M
CCDC88A	WHITFIELD_CELL_CYCLE_G2M
CCNA2	WHITFIELD_CELL_CYCLE_G2M
CCNB1	WHITFIELD_CELL_CYCLE_G2M
CCNB2	WHITFIELD_CELL_CYCLE_G2M
CCND1	WHITFIELD_CELL_CYCLE_G2M
CCSAP	WHITFIELD_CELL_CYCLE_G2M
CDC25B	WHITFIELD_CELL_CYCLE_G2M
CDC27	WHITFIELD_CELL_CYCLE_G2M
CDC42EP1	WHITFIELD_CELL_CYCLE_G2M
CDCA3	WHITFIELD_CELL_CYCLE_G2M
CDKN2D	WHITFIELD_CELL_CYCLE_G2M
CENPA	WHITFIELD_CELL_CYCLE_G2M
CENPE	WHITFIELD_CELL_CYCLE_G2M
CENPF	WHITFIELD_CELL_CYCLE_G2M
CEP55	WHITFIELD_CELL_CYCLE_G2M
CFLAR	WHITFIELD_CELL_CYCLE_G2M
CKAP2	WHITFIELD_CELL_CYCLE_G2M
CKAP5	WHITFIELD_CELL_CYCLE_G2M
CKS1B	WHITFIELD_CELL_CYCLE_G2M
CKS2	WHITFIELD_CELL_CYCLE_G2M
CNN2	WHITFIELD_CELL_CYCLE_G2M
CNTROB	WHITFIELD_CELL_CYCLE_G2M
CREBRF	WHITFIELD_CELL_CYCLE_G2M
CSGALNACT1	WHITFIELD_CELL_CYCLE_G2M
CTNNA1	WHITFIELD_CELL_CYCLE_G2M
CTNND1	WHITFIELD_CELL_CYCLE_G2M
DEPDC1	WHITFIELD_CELL_CYCLE_G2M
DEPDC1B	WHITFIELD_CELL_CYCLE_G2M
DLGAP5	WHITFIELD_CELL_CYCLE_G2M
DNAJA1	WHITFIELD_CELL_CYCLE_G2M
DNAJB1	WHITFIELD_CELL_CYCLE_G2M
DR1	WHITFIELD_CELL_CYCLE_G2M
DUSP4	WHITFIELD_CELL_CYCLE_G2M
DZIP3	WHITFIELD_CELL_CYCLE_G2M
E2F5	WHITFIELD_CELL_CYCLE_G2M
ECT2	WHITFIELD_CELL_CYCLE_G2M
FGA	WHITFIELD_CELL_CYCLE_G2M
FOXM1	WHITFIELD_CELL_CYCLE_G2M
FRZB	WHITFIELD_CELL_CYCLE_G2M
FYN	WHITFIELD_CELL_CYCLE_G2M
G2E3	WHITFIELD_CELL_CYCLE_G2M
GADD45A	WHITFIELD_CELL_CYCLE_G2M
GAS2L3	WHITFIELD_CELL_CYCLE_G2M
GAS6	WHITFIELD_CELL_CYCLE_G2M
GLI1	WHITFIELD_CELL_CYCLE_G2M
GOT1	WHITFIELD_CELL_CYCLE_G2M
GPSM2	WHITFIELD_CELL_CYCLE_G2M
